Engine,No. of Cylinders,Drive Type,Transmission,Fuel Type,Engine Type,Valves Per Cylinder,Power
1462 cc,4.0,FWD,Manual,Petrol,K15 Smart Hybrid,4.0,103.26 bhp
1493 cc,4.0,2WD,Automatic,Diesel,1.5L CRDi VGT,4.0,113.42 bhp
1493 cc,4.0,,Manual,Diesel,1.5 l U2 diesel,4.0,98.63 bhp
1462 cc,4.0,2WD,Manual,Petrol,,4.0,101.64 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0L TSI,4.0,114 bhp
1497 cc,4.0,2WD,Manual,Petrol,Smartstream G1.5,4.0,113.42 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0 TSI Petrol,4.0,114 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0 L TSI Petrol,4.0,113.98 bhp
1349 cc,3.0,,Automatic,Petrol,220TURBO,4.0,138.08 bhp
2987 cc,6.0,RWD,Automatic,Diesel,V-Type Diesel Engine,4.0,254.79 bhp
1997 cc,4.0,AWD,Automatic,Petrol,TD4 Diesel Engine,4.0,247 bhp
2393 cc,4.0,RWD,Manual,Diesel,2.4L Diesel Engine,4.0,148 bhp
2198 cc,4.0,FWD,Automatic,Diesel,2.2 L Turbo Diesel,4.0,182.38 bhp
2198 cc,4.0,FWD,Automatic,Diesel,mHAWK,4.0,182 bhp
1956 cc,4.0,4WD,Automatic,Diesel,2.0 L Multijet II Diesel,4.0,168 bhp
2198 cc,4.0,4WD,Automatic,Diesel,mHawk (CRDi),4.0,172.45 bhp
1969 cc,4.0,FWD,Automatic,Diesel,D4 Diesel Engine,4.0,190 bhp
3198 cc,4.0,4WD,Automatic,Diesel,Diesel Engine,4.0,197 bhp
2694 cc,4.0,RWD,Manual,Petrol,2.7 L Dual VVT,4.0,163.60 bhp
2993 cc,6.0,RWD,Automatic,Diesel,TwinPower Turbo Inline 6 Cylinder Engine,4.0,261.49 bhp
2393 cc,4.0,RWD,Manual,Diesel,2-GD FTV Engine,4.0,147.51 bhp
1353 cc,4.0,,Automatic,Petrol,1.4 L Turbo GDi Petrol,4.0,138.12 bhp
1199 cc,3.0,,Automatic,Petrol,1.2 L Revotron,4.0,86.83 bhp
1950 cc,4.0,AWD,Automatic,Diesel,,4.0,187.74 bhp
2755 cc,4.0,2WD,Manual,Diesel,2.8 L Diesel engine,4.0,201.15 bhp
2755 cc,4.0,RWD,Manual,Diesel,1-GD FTV Engine,4.0,174.5 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0L TSI Petrol,4.0,108.62 bhp
1582 cc,4.0,FWD,Manual,Diesel,U2 VGT Diesel Engine,4.0,126.2 bhp
799 cc,3.0,,Manual,Petrol,0.8 SCe,4.0,53.26 bhp
1462 cc,4.0,2WD,Manual,Petrol,K15C Smart Hybrid,4.0,101.65 bhp
999 cc,3.0,,Automatic,Petrol,1.0 SCe,4.0,67.06 bhp
1197 cc,4.0,FWD,Manual,Petrol,Advanced K Series,4.0,88.50 bhp
1997 cc,4.0,FWD,Automatic,Diesel,mHawk Diesel Engine,4.0,140 bhp
1194 cc,3.0,FWD,Manual,Petrol,Ti-VCT Petrol Engine,4.0,94.93 bhp
1197 cc,4.0,FWD,Manual,Petrol,Kappa Petrol Engine,4.0,78.9 bhp
1198 cc,3.0,FWD,Manual,Petrol,Petrol Engine,4.0,67 bhp
1120 cc,3.0,FWD,Manual,Diesel,U2 CRDi  Diesel Engine,4.0,70 bhp
1197 cc,4.0,FWD,Manual,Petrol,Petrol Engine,4.0,78.9 bhp
1199 cc,4.0,FWD,Manual,Petrol,SMARTECH Petrol Engine,4.0,82.5 bhp
1396 cc,4.0,,Manual,Diesel,Diesel,4.0,
1461 cc,4.0,FWD,Manual,Diesel,K9K In-Line Diesel Engine,2.0,63.12 bhp
2198 cc,4.0,RWD,Automatic,Diesel,TDCI Diesel Engine,4.0,158.2 bhp
2996 cc,6.0,,Automatic,Petrol,V6 bi-turbo engine,4.0,
1984 cc,4.0,4WD,Automatic,Petrol,2.0 L Turbocharged Petrol Engine,4.0,187.74 bhp
3198 cc,4.0,4WD,Automatic,Diesel,TDCI Diesel Engine,4.0,197 bhp
,4.0,,Manual,Petrol,,4.0,
1497 cc,4.0,FWD,Automatic,Petrol,i VTEC Engine,4.0,117.3 bhp
1197 cc,4.0,FWD,Automatic,CNG,Kappa VTVT Petrol Engine,4.0,82 bhp
1598 cc,4.0,FWD,Manual,Petrol,In Line Petrol Engine,4.0,103.6 bhp
1248 cc,4.0,,Manual,Diesel,DDIS 200 Engine,4.0,88.5 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDCi Diesel Engine,4.0,99.23 bhp
1798 cc,4.0,FWD,Automatic,Petrol,Petrol Engine,4.0,177.5 bhp
1497 cc,4.0,FWD,Manual,Petrol,i-VTEC Petrol Engine,4.0,117.3 bhp
1197 cc,4.0,,Automatic,Petrol,1.2 Kappa petrol,4.0,81.86 bhp
1199 cc,4.0,FWD,Manual,Petrol,1.2L i-VTEC,4.0,89 bhp
1197 cc,4.0,FWD,Manual,Petrol,K Series Petrol Engine,4.0,85.80 bhp
1498 cc,4.0,FWD,Manual,Diesel,i-DTEC Diesel Engine,4.0,98.63 bhp
1197 cc,4.0,,Manual,Petrol,,4.0,88.50 bhp
1968 cc,4.0,FWD,Manual,Diesel,Turbocharged Diesel Engin,4.0,138.1 bhp
1248 cc,4.0,FWD,Automatic,Diesel,DDiS Diesel Engine,4.0,74.02 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDIS Diesel Engine,4.0,88.5 bhp
1047 cc,3.0,FWD,Manual,Diesel,Revotorq Engine,4.0,69 bhp
1598 cc,4.0,FWD,Manual,Petrol,MPI Petrol Engine,4.0,103.5 bhp
1197 cc,4.0,FWD,Automatic,Petrol,Advanced K Series,4.0,88.50 bhp
998 cc,3.0,FWD,Manual,Petrol,K10C,4.0,67.77 bhp
1497 cc,4.0,FWD,Manual,Petrol,In-Line Engine,4.0,
2523 cc,4.0,RWD,Manual,Diesel,M2DiCR Diesel Engine,2.0,62.1 bhp
1482 cc,4.0,FWD,Manual,Petrol,1.5 l Turbo GDi Petrol,4.0,157.57 bhp
2393 cc,7.0,RWD,Manual,Diesel,2-GD FTV Engine,4.0,147.51 bhp
1451 cc,4.0,FWD,Automatic,Petrol,1.5L Turbocharged Intercooled,4.0,141.04 bhp
1498 cc,4.0,FWD,Automatic,Petrol,1.5 L TSI Petrol,4.0,147.51 bhp
2179 cc,4.0,4WD,Automatic,Diesel,TD4 Diesel Engine,4.0,147.51 bhp
1498 cc,4.0,FWD,Automatic,Petrol,1.5 L TSI EVO with ACT,4.0,147.94 bhp
2143 cc,4.0,RWD,Automatic,Diesel,In-Line Engine,4.0,170 bhp
1461 cc,4.0,FWD,Manual,Diesel,dCi THP Diesel Engine,4.0,83.8 bhp
1197 cc,4.0,FWD,Automatic,Petrol,1.2 L K Series Engine,4.0,88.50 bhp
1498 cc,4.0,,Manual,Diesel,Water Cooled Inline i-DTEC DOHC,4.0,97.89 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDI Diesel Engine,4.0,108.5 bhp
1199 cc,4.0,FWD,Automatic,Petrol,i-VTEC,4.0,88.50 bhp
1199 cc,3.0,3,Manual,Petrol,1.2l Turbocharged Revotron Engine,4.0,118.36 bhp
1497 cc,4.0,FWD,Manual,Diesel,1.5L Turbocharged Revotorq,4.0,88.76 bhp
1498 cc,4.0,FWD,Manual,Diesel,U2 CRDi Diesel,4.0,98.6 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0L energy,4.0,71 bhp
1373 cc,4.0,FWD,Automatic,Petrol,k14B VVT Engine,4.0,91.1 bhp
1197 cc,4.0,,Manual,Petrol,1.2 l Kappa petrol,4.0,81.80 bhp
1197 cc,4.0,,Manual,Petrol,1.2 Kappa Petrol,4.0,81.80 bhp
1598 cc,4.0,FWD,Manual,Petrol,Petrol Engine,4.0,103.2 bhp
1198 cc,3.0,FWD,Automatic,Petrol,Revotron 1.2L Turbocharge,4.0,108.5 bhp
1199 cc,3.0,,Manual,Petrol,1.2 l Revotron,4.0,86.83 bhp
1197 cc,4.0,FWD,Manual,Petrol,Smartstream G1.2,4.0,81.8 bhp
2179 cc,4.0,FWD,Manual,Diesel,mHawk Diesel Engine,4.0,138 bhp
1373 cc,4.0,FWD,Manual,Petrol,K14B Petrol Engine,4.0,91.1 bhp
1197 cc,4.0,,Manual,Petrol,1.2 Kappa petrol,4.0,81.86 bhp
2179 cc,4.0,FWD,Automatic,Diesel,mHawk Diesel Engine,4.0,140 bhp
998 cc,3.0,FWD,Automatic,Petrol,Kappa 1.0 L Turbo GDi Petrol,4.0,118.35 bhp
999 cc,3.0,FWD,Automatic,Petrol,ENERGY Engine,4.0,71.01 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDiS 190 Engine,4.0,74 bhp
998 cc,3.0,FWD,Manual,Petrol,,4.0,118.35 bhp
1497 cc,4.0,FWD,Automatic,Petrol,i-VTEC Petrol Engine,4.0,117.3 bhp
1197 cc,4.0,,Manual,CNG,,4.0,76.43 bhp
1197 cc,4.0,FWD,Automatic,Petrol,TSI Petrol Engine,2.0,103.2 bhp
1197 cc,4.0,FWD,Manual,Petrol,SMARTSTREAM G1.2,4.0,81.86 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L MPI Petrol,4.0,75.10 bhp
1497 cc,4.0,FWD,Automatic,Diesel,"Revotorq, 1.5L Turbocharg",4.0,108.5 bhp
998 cc,3.0,,Automatic,Petrol,1.0 l Turbo GDi petrol,4.0,118.36 bhp
1396 cc,4.0,FWD,Manual,Diesel,U2 CRDI Diesel Engine,4.0,88.73 bhp
1498 cc,4.0,FWD,Manual,Petrol,VTi-TECH,4.0,108.49 bhp
1462 cc,4.0,FWD,Automatic,Petrol,K15B Smart Hybrid,4.0,103.2 bhp
1968 cc,4.0,FWD,Automatic,Diesel,Diesel Engine,4.0,138.03 bhp
2993 cc,6.0,4WD,Automatic,Diesel,Diesel Engine,4.0,258 bhp
1950 cc,4.0,2WD,Automatic,Diesel,2.0L OM654 Turbocharged I4,4.0,187.74 bhp
2996 cc,4.0,AWD,Automatic,Petrol,Petrol Engine,4.0,362 bhp
1995 cc,4.0,RWD,Automatic,Diesel,TwinPower Turbo,4.0,187.74 bhp
1462 cc,4.0,FWD,Automatic,Petrol,K15C Smart Hybrid,4.0,101.64 bhp
1498 cc,4.0,FWD,Manual,Diesel,DDIS 200 Smart Hybrid,4.0,93.87 bhp
1462 cc,4.0,FWD,Manual,Petrol,K15B Petrol Engine,4.0,103.26 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDIS 200 Smart Hybrid,4.0,88.50 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0 L TSI Petrol,4.0,113.98 bhp
1498 cc,4.0,FWD,Automatic,Petrol,i-VTEC,4.0,119.35 bhp
1498 cc,4.0,FWD,Automatic,Petrol,1.5 L TSI Petrol,4.0,147.52 bhp
1498 cc,4.0,FWD,Automatic,Petrol,i-VTEC,4.0,119 bhp
1498 cc,4.0,,Automatic,Petrol,Water Cooled Inline i-VTEC DOHC with VTC,4.0,119.35 bhp
1086 cc,3.0,FWD,Manual,Petrol,Petrol Engine,4.0,62.1 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L Petrol Engine,4.0,72 bhp
998 cc,3.0,FWD,Automatic,Petrol,Kappa 1.0 l turbo GDi,4.0,118.41 bhp
998 cc,3.0,FWD,Manual,Petrol,K10B Engine,4.0,67.04 bhp
999 cc,3.0,FWD,Manual,Petrol,Ecoboost Petrol Engine,4.0,123.37 bhp
1461 cc,4.0,FWD,Manual,Diesel,K9K Diesel Engine,4.0,83.8 bhp
1995 cc,4.0,4WD,Manual,Diesel,dCi Diesel Engine,4.0,170.6 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDI Diesel Engine,4.0,108.6 bhp
1497 cc,4.0,FWD,Automatic,Petrol,In-Line Engine,4.0,
1598 cc,4.0,FWD,Automatic,Petrol,In Line Petrol Engine,4.0,103.6 bhp
1493 cc,3.0,RWD,Manual,Diesel,mHAWk100,4.0,98.56 bhp
1950 cc,4.0,RWD,Automatic,Petrol,2L Petrol Engine,4.0,201.15 bhp
2487 cc,4.0,AWD,Automatic,Petrol,2.5-litre a Hybrid,4.0,190.42 bhp
2143 cc,4.0,AWD,Automatic,Diesel,In Line Engine,4.0,201.15 bhp
2967 cc,4.0,AWD,Automatic,Diesel,V-Type Diesel Engine,4.0,245 bhp
4395 cc,8.0,RWD,Automatic,Petrol,TwinPower Turbo Engine,4.0,558 bhp
2198 cc,4.0,RWD,Automatic,Diesel,mHawk (CRDi),4.0,172.45 bhp
1482 cc,4.0,2WD,Automatic,Petrol,SmartStream G1.5 T-GDi,4.0,157.81 bhp
1490 cc,3.0,2WD,Automatic,Petrol,,4.0,91.18 bhp
1999 cc,4.0,4WD,Automatic,Diesel,TD4 Diesel Engine,4.0,148.31 bhp
2967 cc,6.0,AWD,Automatic,Diesel,V-Type Diesel Engine,4.0,241.4 bhp
1999 cc,4.0,FWD,Manual,Petrol,2.0L Turbo Petrol,4.0,197.13 bhp
2198 cc,4.0,FWD,Manual,Diesel,mHawk,4.0,182 bhp
1950 cc,4.0,RWD,Automatic,Diesel,In-Line Engine,4.0,194 bhp
2694 cc,4.0,RWD,Automatic,Petrol,2.7 L Dual VVT,4.0,163.60 bhp
1497 cc,4.0,FWD,Manual,Petrol,SOHC i-VTEC,4.0,116.4 bhp
1199 cc,3.0,FWD,Automatic,Petrol,Revotron Engine,4.0,84 bhp
1984 cc,4.0,AWD,Automatic,Petrol,40 TFSI quattro S tronic,4.0,187.74 bhp
1991 cc,4.0,AWD,Automatic,Petrol,M 264 petrol engine,4.0,197 bhp
1995 cc,4.0,4WD,Automatic,Diesel,2.0l 4Cylinder twin turbo,4.0,187.74 bhp
1998 cc,4.0,RWD,Automatic,Petrol,TwinPower Turbo,4.0,254.79 bhp
1186 cc,3.0,FWD,Manual,Diesel,U2 CRDi  Diesel Engine,4.0,73.97 bhp
1197 cc,4.0,FWD,Automatic,Petrol,VVT Petrol Engine,4.0,83.1 bhp
1198 cc,3.0,FWD,Manual,Petrol,In-Line Petrol Engine,4.0,73.9 bhp
1198 cc,3.0,FWD,Manual,Petrol,In-Line Engine,4.0,73.9 bhp
1197 cc,4.0,FWD,Manual,Petrol,VVT Petrol Engine,4.0,83.1 bhp
1461 cc,4.0,FWD,Manual,Diesel,dCi In-Line Diesel Engine,2.0,63.1 bhp
1598 cc,4.0,FWD,Manual,Petrol,In-Line Petrol Engine,4.0,103.6 bhp
1198 cc,3.0,FWD,Manual,Petrol,MPI Petrol Engine,4.0,74 bhp
1197 cc,4.0,FWD,Manual,Petrol,VTVT Engine,4.0,81.80 bhp
1199 cc,3.0,FWD,Manual,Petrol,MPI Petrol Engine,4.0,74 bhp
1199 cc,3.0,,Automatic,Petrol,1.2L Revotron Engine,4.0,84.82 bhp
999 cc,3.0,FWD,Manual,Petrol,MPI Petrol Engine,4.0,75 bhp
1493 cc,3.0,RWD,Automatic,Diesel,mHawk 80 Diesel Engine,2.0,100 bhp
1598 cc,4.0,FWD,Manual,Diesel,Turbocharged Diesel Engin,4.0,103.5 bhp
998 cc,3.0,,Manual,Petrol,K10C,4.0,65.71 bhp
1498 cc,4.0,FWD,Manual,Diesel,Diesel Engine,4.0,103.52 bhp
1198 cc,3.0,FWD,Manual,Petrol,In-Lie Petrol Engine,4.0,73.9 bhp
1364 cc,4.0,FWD,Manual,Diesel,SOHC D-4D Diesel Engine,4.0,87.2 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDCi Diesel Engine,2.0,99 bhp
1598 cc,4.0,,Manual,Petrol,In-Line Engine,4.0,103.5 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDiS Diesel Engine,4.0,88.76 bhp
1499 cc,4.0,FWD,Automatic,Petrol,Ti-VCT Petrol Engine,4.0,110.4 bhp
1086 cc,4.0,FWD,Automatic,Petrol,1.1 litre Petrol Engine,3.0,68 bhp
1399 cc,4.0,FWD,Manual,Diesel,Duratorq Diesel Engine,2.0,68.1 bhp
1598 cc,4.0,FWD,Manual,Petrol,Petrol Engine,4.0,103.52 bhp
999 cc,3.0,,Manual,Petrol,B4D 1.0 NA PETROL,4.0,71.02 bhp
1493 cc,4.0,,Manual,Diesel,1.5 l diesel CRDi engine,4.0,113.98 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0L HRAO,4.0,98.63 bhp
1451 cc,4.0,,Manual,Petrol,1.5L Turbocharged Intercooled,4.0,141 bhp
1373 cc,4.0,FWD,Manual,Petrol,K Series Petrol Engine,4.0,93.7 bhp
1461 cc,4.0,FWD,Manual,Diesel,dCi THP Diesel Engine,4.0,108.45 bhp
1199 cc,4.0,,Automatic,Petrol,1.2 i-VTEC,4.0,88.50 bhp
1197 cc,4.0,FWD,Automatic,Petrol,VTVT Engine,4.0,81.80 bhp
1497 cc,4.0,FWD,Manual,Diesel,1.5L Turbo Diesel,4.0,115 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L Energy,4.0,71 bhp
999 cc,3.0,FWD,Manual,Petrol,TSI Petrol Engine,4.0,108.62 bhp
998 cc,3.0,FWD,Automatic,Petrol,,4.0,118.35 bhp
1199 cc,3.0,FWD,Manual,Petrol,PURETECH 110,4.0,108.62 bhp
1896 cc,4.0,,Automatic,Diesel,In-Line Engine,4.0,
2494 cc,4.0,FWD,Automatic,Petrol,2AR FXE Petrol Engine,4.0,158.2 bhp
1497 cc,4.0,,Manual,Diesel,1.5l Turbocharged Revotorq,4.0,113.42 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDI Diesel Engine,4.0,88 bhp
1197 cc,4.0,FWD,Manual,Petrol,1.2 L K Series Engine,4.0,88.50 bhp
1197 cc,3.0,FWD,Manual,Petrol,TCMPFi,4.0,108.62 bhp
1197 cc,4.0,,Automatic,Petrol,K Series Dual jet,4.0,88.50 bhp
1497 cc,3.0,FWD,Automatic,Petrol,Ti-VCT Petrol Engine,4.0,121.36 bhp
2179 cc,4.0,FWD,Automatic,Diesel,mHawk Diesel Engine,4.0,152.87 bhp
1497 cc,4.0,FWD,Automatic,Petrol,i VTEC Engine,4.0,117.6 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L TSI Petrol,4.0,108.62 bhp
1197 cc,4.0,FWD,Automatic,Petrol,1.2L VVT Engine,4.0,81.80 bhp
1498 cc,4.0,FWD,Manual,Petrol,1.5L Petrol,4.0,104.55 bhp
1248 cc,4.0,FWD,Automatic,Diesel,DDiS 200 Diesel Engine,4.0,88.5 bhp
1199 cc,4.0,,Automatic,Petrol,i-VTEC,4.0,88.50 bhp
2198 cc,4.0,FWD,Automatic,Diesel,mHawk,4.0,182 bhp
1969 cc,4.0,FWD,Automatic,Petrol,2.0 litre petrol Engine,4.0,187.40 bhp
1995 cc,4.0,FWD,Automatic,Diesel,Diesel Engine,4.0,188 bhp
1482 cc,4.0,2WD,Automatic,Petrol,Smartstream G1.5 T-GDi,4.0,157.81 bhp
1493 cc,4.0,2WD,Manual,Diesel,1.5 L U2 CRDi Diesel,4.0,113.45 bhp
1999 cc,4.0,FWD,Manual,Petrol,mStallion,4.0,197 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0 TSI Petrol,4.0,114 bhp
1969 cc,4.0,FWD,Automatic,Diesel,Turbo Diesel Engine,4.0,190 bhp
1493 cc,4.0,2WD,Manual,Diesel,1.5 L U2 CRDi Diesel,4.0,113.98 bhp
1950 cc,4.0,AWD,Automatic,Diesel,OM 651 DE 22 LA,4.0,187.74 bhp
2755 cc,4.0,2WD,Automatic,Diesel,2.8 L Diesel engine,4.0,201.15 bhp
2996 cc,6.0,,Automatic,Petrol,3.0-LITRE V6 BITURBO ENGINE,4.0,384.87 bhp
2925 cc,6.0,AWD,Automatic,Diesel,3.0-litre diesel,4.0,325.86 bhp
1998 cc,4.0,RWD,Automatic,Petrol,TwinPower Turbo 4 Cylinder Petrol Engine,4.0,254.79 bhp
1993 cc,4.0,AWD,Automatic,Diesel,OM654 Turbocharged I4,4.0,265.52 bhp
2925 cc,6.0,AWD,Automatic,Diesel,V Type Engine,4.0,325.8 bhp
2925 cc,6.0,AWD,Automatic,Diesel,,4.0,362.07 bhp
1198 cc,3.0,FWD,Manual,Diesel,mFALCON D75 Engine,4.0,77 bhp
998 cc,3.0,FWD,Manual,CNG,K10B Engine,4.0,58.16 bhp
2998 cc,6.0,AWD,Automatic,Petrol,TwinPower Turbo 6-cylinder engine,4.0,335.25 bhp
1997 cc,4.0,AWD,Automatic,Diesel,TD4  Engine,4.0,201.15 bhp
2755 cc,4.0,4WD,Manual,Diesel,2.8 L Diesel engine,4.0,201.15 bhp
1968 cc,4.0,FWD,Automatic,Diesel,In Line Diesel Engine,4.0,187.74 bhp
2199 cc,4.0,2WD,Automatic,Diesel,D2.2L VGT Diesel,4.0,197.26 bhp
2143 cc,4.0,RWD,Automatic,Diesel,In-Line Engine,4.0,201.15 bhp
1493 cc,4.0,FWD,Automatic,Diesel,1.5 U2 CRDi Diesel,4.0,114 bhp
2400 cc,5.0,AWD,Manual,Diesel,Twin Turbo Diesel Engine,4.0,200 bhp
2184 cc,4.0,4WD,Automatic,Diesel,mHawk 130 CRDe,4.0,130.07 bhp
2198 cc,4.0,FWD,Manual,Diesel,mHAWK,4.0,182 bhp
1796 cc,4.0,RWD,Automatic,Petrol,In-Line Engine,4.0,186 bhp
1197 cc,4.0,,Manual,Petrol,K Series VVT Engine,4.0,81.80 bhp
1498 cc,4.0,FWD,Automatic,Diesel,Diesel Engine,4.0,103.52 bhp
1197 cc,4.0,FWD,Manual,Petrol,K Series Petrol Engine,4.0,85.8 bhp
1498 cc,4.0,FWD,Manual,Petrol,XH2 Petrol Engine,4.0,97.6 bhp
1582 cc,4.0,FWD,Manual,Diesel,U2 VGT Diesel Engine,4.0,126.32 bhp
1591 cc,4.0,FWD,Manual,Petrol,VTVT Petrol Engine,4.0,121.4 bhp
1498 cc,4.0,FWD,Manual,Petrol,HR15 Petrol Engine,4.0,97.7 bhp
1497 cc,4.0,,Automatic,Petrol,1.5 L MPi Petrol,4.0,113.18 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0 SCe,4.0,67.06 bhp
998 cc,3.0,FWD,Manual,CNG,K10C,4.0,55.92 bhp
1298 cc,4.0,,Manual,Petrol,In-Line Engine,4.0,
1368 cc,4.0,FWD,Manual,Petrol,Petrol,4.0,
1969 cc,4.0,AWD,Automatic,Diesel,Turbo Diesel Engine,4.0,190 bhp
2995 cc,6.0,AWD,Automatic,Petrol,3.0 Litre V6 Engine,4.0,335 bhp
1399 cc,4.0,Front Wheel Drive,Manual,Diesel,Diesel Engine,4.0,68 bhp
,,FWD,Automatic,Electric,,,73.75 bhp
1332 cc,4.0,FWD,Automatic,Petrol,,4.0,160.92 bhp
1498 cc,4.0,,Manual,Diesel,i-DTEC,4.0,97.89 bhp
2487 cc,4.0,FWD,Automatic,Petrol,"A25B-FXS, 4 Cylinders In-",4.0,214.56 bhp
1499 cc,4.0,2wd,Manual,Petrol,1.5 L TiVCT,4.0,
2999 cc,6.0,AWD,Automatic,Petrol,M256M,4.0,375.48 bhp
1197 cc,4.0,FWD,Manual,Petrol,K12M VVT I4,4.0,88.50 bhp
1984 cc,4.0,FWD,Automatic,Petrol,In Line Petrol Engine,4.0,241.3 bhp
2999 cc,6.0,AWD,Automatic,Petrol,3.0-litre petrol,4.0,362.07 bhp
1998 cc,4.0,4WD,Automatic,Petrol,2.0L GME T4 DI TC,4.0,264.33 bhp
2995 cc,4.0,AWD,Automatic,Petrol,TFSI Petrol Engine,4.0,340 bhp
1197 cc,4.0,FWD,Manual,Petrol,1.2L Kappa Dual VTVT Petr,4.0,81.86 bhp
2999 cc,6.0,AWD,Automatic,Petrol,M256 engine,4.0,362.07 bhp
1499 cc,4.0,FWD,Manual,Diesel,1.5 litre Diesel Engine,4.0,98.96 bhp
998 cc,3.0,FWD,Manual,CNG,K10B Petrol Engine,4.0,58.33 bhp
1998 cc,4.0,4WD,Automatic,Petrol,2.0L GME T4 DI TC,4.0,268 bhp
2925 cc,6.0,AWD,Automatic,Diesel,in-line six-cylinder OM656,4.0,325.86 bhp
1497 cc,4.0,,Manual,Diesel,1.5l Turbocharged Revotorq Engine,4.0,108.49 bhp
1969 cc,4.0,AWD,Automatic,Diesel,Turbo Diesel Engine,4.0,231.78 bhp
1197 cc,3.0,FWD,Manual,Petrol,Z12E,4.0,80 bhp
1997 cc,4.0,AWD,Automatic,Petrol,TD4  Engine,4.0,246.74 bhp
1373 cc,4.0,2WD,Manual,Petrol,k14B VVT Engine,4.0,91.1 bhp
1997 cc,4.0,4WD,Automatic,Petrol,2.0 Litre Petrol Engine,4.0,237.36 bhp
1199 cc,3.0,FWD,Manual,CNG,1.2 l Revotron,4.0,72 bhp
3346 cc,6.0,AWD,Automatic,Diesel,3.5-liter V6 twin-turbo,4.0,304.41 bhp
1248 cc,4.0,FWD,Manual,Diesel,Diesel,4.0,
1798 cc,4.0,FWD,Automatic,Petrol,In Line Petrol Engine,4.0,187.74 bhp
2151 cc,4.0,2WD,Automatic,Diesel,Smartstream In-line,4.0,190 bhp
1199 cc,3.0,FWD,Manual,Petrol,Revotron Engine,4.0,83.83 bhp
1991 cc,4.0,RWD,Automatic,Petrol,In-Line Petrol Engine,4.0,194.4 bhp
2179 cc,4.0,FWD,Automatic,Diesel,mHawk155 Diesel Engine,4.0,152.87 bhp
1999 cc,4.0,4WD,Automatic,Petrol,M254,4.0,254.79 bhp
1798 cc,4.0,FWD,Manual,Petrol,Turbocharged Petrol Engin,4.0,157.8 bhp
2999 cc,6.0,AWD,Automatic,Petrol,V Type Engine,4.0,362.07 bhp
1496 cc,4.0,FWD,Manual,Petrol,1.5 Dual VVT-i Engine,4.0,105.5 bhp
1995 cc,4.0,RWD,Automatic,Diesel,TwinPower Turbo Inline 4 Cylinder Engine,4.0,187.74 bhp
1984 cc,4.0,AWD,Automatic,Petrol,2.0 L 40 TFS,4.0,187.74 bhp
1984 cc,4.0,AWD,Automatic,Petrol,2.0 L TFSI,4.0,245.59 bhp
2998 cc,6.0,4WD,Automatic,Petrol,TwinPower Turbo 6-cylinder engine,4.0,375.48 bhp
1968 cc,4.0,FWD,Automatic,Diesel,TDI Diesel Engine,4.0,187.74 bhp
1591 cc,4.0,FWD,Automatic,Petrol,VTVT Petrol Engine,4.0,121.4 bhp
1199 cc,3.0,FWD,Manual,CNG,1.2L Revotron,4.0,74.46 bhp
1998 cc,4.0,RWD,Automatic,Petrol,2.0L Turbo Petrol,4.0,254.79 bhp
1493 cc,3.0,RWD,Manual,Diesel,mHAWK75 BSVI,4.0,74.96 bhp
1499 cc,3.0,FWD,Automatic,Petrol,B38 turbo I3,4.0,134.10 bhp
,4.0,2WD,Manual,Petrol,SmartStream G1.5,4.0,
1968 cc,4.0,FWD,Automatic,Diesel,TDI Diesel Engine,4.0,143 bhp
2998 cc,6.0,AWD,Automatic,Petrol,TwinPower Turbo 6-cylinder engine,4.0,335.26 bhp
1461 cc,4.0,FWD,Manual,Diesel,dCi Diesel Engine,4.0,83.8 bhp
1598 cc,4.0,Two Wheel Drive,Automatic,Petrol,In Line Petrol Engine,4.0,
1997 cc,4.0,AWD,Automatic,Petrol,2.0L Turbocharged I4,4.0,296 bhp
3346 cc,6.0,4WD,Automatic,Diesel,F33A-FTV,4.0,304.41 bhp
1997 cc,4.0,AWD,Automatic,Petrol,2.0 Litre P300 Petrol Engine,4.0,296.3 bhp
999 cc,3.0,,Manual,Petrol,1.0 SCe,4.0,67.06 bhp
,,AWD,Automatic,Electric,,,750.97 bhp
